Temperature (°C),Humidity (%),Moisture (%),Soil Type,Crop Type,Nitrogen (ppm),Phosphorus (ppm),Potassium (ppm),pH,Rainfall (mm),Pest Level,Recommended Fertilizer,Dosage (kg/acre),Apply_After_Days,Expected Yield (q/ha)
27.3,47,58,Loamy,Cotton,81,28,41,6.0,246,High,NPK,73.7,22,73.2
28.8,61,66,Black,Cotton,151,77,77,7.7,158,Low,Potash,28.9,25,114.0
26.1,80,53,Sandy,Groundnut,90,45,35,6.0,53,Medium,MOP,30.4,15,74.9
29.3,47,58,Red,Wheat,95,28,57,8.1,132,High,NPK,61.3,16,76.9
23.2,67,62,Loamy,Wheat,64,21,51,6.6,264,Low,DAP,70.0,17,71.9
25.6,35,44,Clayey,Maize,116,45,55,7.9,78,High,10-26-26,35.8,11,71.3
34.9,43,42,Red,Wheat,66,67,49,7.0,259,Low,NPK,52.6,9,75.8
37.8,61,29,Loamy,Soybean,90,69,93,7.6,181,Low,Potash,36.6,12,85.3
21.3,53,20,Black,Wheat,93,33,78,6.4,254,Medium,DAP,61.0,12,94.5
23.3,37,43,Red,Groundnut,79,39,58,7.2,209,Low,Urea,72.4,18,75.3
33.8,80,63,Loamy,Tomato,87,48,40,7.8,265,Medium,10-26-26,47.0,29,105.8
35.7,85,50,Black,Maize,82,47,67,6.4,131,Medium,Urea,68.9,17,98.2
37.8,77,65,Red,Cotton,98,41,55,6.2,231,High,Potash,47.1,26,90.0
32.0,85,60,Clayey,Tomato,145,68,59,6.4,226,High,Potash,41.8,23,83.5
23.6,68,39,Loamy,Soybean,150,71,86,8.0,185,High,Potash,38.7,13,83.9
29.6,74,69,Black,Sugarcane,75,67,32,8.2,207,Low,Urea,72.9,21,87.8
26.6,70,60,Black,Sugarcane,74,68,42,8.2,252,Medium,Urea,85.1,28,90.7
22.3,43,48,Red,Tomato,121,65,52,6.3,156,Medium,NPK,44.3,32,76.4
36.4,65,56,Red,Maize,59,54,60,8.2,317,Low,DAP,64.6,19,92.3
26.0,81,20,Black,Soybean,85,60,31,6.9,261,Medium,MOP,41.7,16,106.9
27.2,38,41,Black,Cotton,121,68,67,5.7,274,Low,Potash,35.7,33,79.9
23.4,66,30,Clayey,Sugarcane,134,43,39,6.9,151,High,Urea,70.3,31,82.5
34.7,40,67,Sandy,Maize,155,28,49,6.8,66,High,NPK,55.5,9,62.8
34.1,49,59,Black,Maize,93,69,36,7.9,273,Low,Urea,76.1,18,70.0
28.9,68,66,Sandy,Cotton,98,78,42,7.5,170,High,Potash,40.3,22,91.1
22.9,88,30,Red,Pulses,82,40,35,7.0,60,Medium,MOP,35.1,9,104.2
35.9,86,55,Clayey,Sugarcane,65,51,84,7.6,70,Medium,Urea,60.0,30,106.9
32.0,86,22,Red,Sugarcane,128,34,100,5.7,59,Medium,10-26-26,35.9,33,96.1
36.2,49,31,Black,Tomato,56,33,60,7.1,133,High,NPK,58.6,20,65.4
20.5,47,28,Loamy,Sugarcane,57,76,62,5.7,270,Low,Urea,62.8,21,83.7
36.9,63,24,Loamy,Cotton,93,47,46,6.6,96,Medium,NPK,50.7,27,100.8
28.7,80,26,Red,Cotton,152,31,47,6.6,177,Low,Potash,36.4,28,79.7
29.3,86,52,Black,Rice,80,35,97,5.9,265,Medium,NPK,60.9,8,82.9
25.8,71,41,Red,Cotton,62,70,33,8.0,273,Low,Potash,37.9,21,95.7
23.3,77,36,Sandy,Soybean,87,32,76,5.5,226,Medium,14-35-14,44.2,11,93.7
23.6,38,21,Clayey,Cotton,68,58,40,7.7,244,Low,NPK,50.6,30,93.7
24.4,44,69,Sandy,Wheat,53,31,57,5.9,181,Low,Urea,70.6,13,65.7
27.8,79,66,Clayey,Groundnut,104,55,78,7.5,184,Medium,14-35-14,44.7,19,82.8
29.6,39,22,Loamy,Sugarcane,91,59,43,6.0,207,High,Urea,88.3,26,67.0
28.0,36,58,Clayey,Rice,149,44,45,7.4,194,Medium,Urea,76.9,19,90.6
27.7,83,40,Black,Cotton,127,64,98,8.0,104,Medium,Potash,28.4,26,82.7
36.7,64,67,Red,Pulses,126,25,32,5.3,92,High,MOP,41.7,13,64.7
35.9,77,57,Black,Wheat,52,27,71,5.9,104,Low,DAP,60.0,20,104.4
25.2,88,28,Clayey,Maize,140,46,43,6.1,144,Medium,10-26-26,37.3,8,78.0
37.1,54,36,Loamy,Sugarcane,143,27,34,7.4,85,Medium,Urea,71.0,24,103.2
30.8,48,69,Black,Sugarcane,156,48,62,6.7,144,Medium,Urea,63.2,26,80.9
22.3,67,34,Black,Pulses,127,53,39,5.9,272,Low,10-26-26,41.4,12,102.9
33.2,72,70,Sandy,Wheat,104,25,84,6.6,92,Low,Urea,56.4,8,103.1
25.4,42,29,Clayey,Sugarcane,72,72,54,5.5,107,Medium,Urea,55.8,26,76.9
26.0,37,48,Clayey,Groundnut,119,59,74,5.9,116,Low,14-35-14,34.5,18,104.6
37.0,49,33,Black,Tomato,141,50,50,7.0,335,Low,NPK,63.8,29,69.1
30.9,57,29,Loamy,Tomato,55,24,98,6.2,335,Medium,10-26-26,60.7,25,90.5
32.5,84,64,Sandy,Soybean,87,22,73,6.5,130,Low,14-35-14,38.9,8,90.0
27.7,69,54,Red,Pulses,125,61,78,6.0,154,Medium,MOP,31.3,11,107.2
36.5,58,44,Clayey,Cotton,125,27,67,8.2,191,Medium,NPK,61.2,24,100.4
37.7,43,38,Sandy,Soybean,115,54,63,5.6,260,High,14-35-14,59.8,11,66.9
33.4,40,42,Sandy,Groundnut,79,50,38,6.7,204,Low,MOP,42.8,7,68.4
34.6,39,42,Black,Maize,132,79,75,7.5,324,Low,Urea,69.1,20,79.8
33.2,35,48,Loamy,Soybean,147,49,93,7.1,51,Low,Potash,27.4,16,78.3
37.7,62,31,Loamy,Soybean,108,38,32,7.5,66,Medium,Potash,32.0,7,96.6
30.3,89,43,Red,Maize,86,56,74,7.3,126,High,DAP,64.7,19,75.9
34.8,69,32,Red,Sugarcane,72,52,62,6.6,90,Medium,10-26-26,40.1,28,110.7
25.5,35,55,Loamy,Wheat,139,36,59,5.7,59,Low,DAP,41.7,10,77.7
25.8,57,45,Loamy,Sugarcane,97,70,51,5.2,330,Medium,Urea,84.0,35,100.3
33.2,46,40,Black,Maize,138,59,36,6.7,334,High,Urea,104.5,19,82.8
23.8,42,70,Red,Pulses,148,47,98,6.1,160,High,MOP,35.3,10,86.7
33.7,85,44,Loamy,Cotton,141,46,59,6.2,144,Low,NPK,47.5,22,101.1
26.8,81,36,Red,Pulses,114,20,53,7.2,269,High,MOP,56.4,13,69.9
33.3,45,59,Loamy,Groundnut,122,43,47,8.1,277,Medium,MOP,43.8,17,84.5
30.7,54,54,Red,Groundnut,149,26,91,5.3,282,Low,Urea,70.5,14,75.9
27.8,55,23,Loamy,Maize,150,27,100,6.5,326,Low,NPK,52.8,16,103.8
22.4,49,69,Clayey,Wheat,94,65,37,8.1,152,Low,DAP,45.5,16,99.6
23.8,83,20,Loamy,Groundnut,83,50,75,7.7,227,Medium,MOP,37.4,7,100.8
21.9,72,22,Loamy,Tomato,152,38,77,6.2,291,Medium,10-26-26,46.0,35,102.0
20.3,36,36,Black,Rice,92,26,33,8.1,241,High,NPK,72.4,18,49.5
26.7,58,57,Clayey,Sugarcane,90,78,63,6.4,168,High,Urea,72.6,22,68.1
28.7,85,25,Loamy,Rice,94,44,71,8.1,175,Low,Urea,67.8,15,85.7
30.1,45,61,Sandy,Pulses,90,32,78,6.0,141,Low,DAP,55.6,16,92.2
32.1,77,23,Loamy,Wheat,89,42,90,5.6,120,Medium,DAP,56.4,16,85.3
25.7,50,23,Loamy,Sugarcane,105,79,44,7.7,92,High,Urea,62.7,26,74.2
26.9,43,59,Loamy,Cotton,104,72,95,6.6,263,Low,NPK,48.4,27,102.5
25.1,37,65,Loamy,Pulses,109,70,56,5.5,69,Low,14-35-14,28.5,10,79.1
35.3,35,24,Sandy,Maize,52,35,41,5.6,85,Low,NPK,43.9,20,88.8
34.3,87,43,Clayey,Maize,106,44,36,6.5,290,Low,10-26-26,48.3,12,106.8
26.4,79,39,Clayey,Wheat,131,33,55,5.3,332,Medium,DAP,75.5,10,97.5
22.0,90,55,Red,Cotton,65,22,50,6.6,111,Low,Potash,29.0,25,90.6
35.2,72,36,Sandy,Cotton,76,73,96,7.5,324,Low,Potash,42.5,34,103.2
28.2,52,67,Black,Sugarcane,116,48,46,6.9,287,High,Urea,91.3,35,87.2
34.3,73,26,Loamy,Rice,132,24,51,7.0,320,Low,Urea,86.5,13,100.8
25.2,36,38,Red,Maize,135,43,36,5.4,151,High,DAP,66.2,12,57.4
22.8,84,50,Clayey,Groundnut,71,41,77,7.2,157,High,14-35-14,45.9,10,81.2
